total#,rate,cost
35769942,11197.00213,1265.471089
3671007.017,9455.86609,1477.327377
123102,7645.388899,1471.363578
108,10516.06621,1110.345711
4464,12397.24506,2369.782195
32797,14648.90771,2057.495306
4687,10490.15219,2100.373134
1302,6058.350007,1321.485207
99572,9028.263874,1793.849202
2699,9771.904417,1500.84911
16585,8996.376497,1778.88185
103744,10616.2379,1292.745521
3190,11112.65937,1711.797151
12927,9601.301267,1709.21823
18061,10659.23041,1409.276328
2111,10639.04848,2643.489012
87301,9866.05821,1311.611434
13907,9310.748837,1091.690233
8403,13169.19509,2774.789945
2831,8804.503328,1181.749802
1025315,10121.92431,1430.42035
14430,9396.672419,1269.786351
19704,7628.664016,1654.910782
1796,10811.46159,1867.531009
9182,10399.5832,1922.560126
26077,9839.709001,1420.575759
959,11916.00398,1824.78452
896,7002.735444,1391.323742
39260,9331.1784,1895.0864
12476,8773.434973,1661.419214
9243,9664.063235,1891.458324
269211,8476.633063,1236.147217
30363,8043.434493,1480.82067
2492,13138.60916,2191.990138
221650,9492.314287,1306.154521
143594,9721.694706,1755.129825
5092,8949.347956,1841.443739
211147,10043.08385,1401.482089
299034,9214.760553,1332.374702
75684,8916.020894,1939.866446
71822,10091.14373,1548.560932
22455,8115.785936,1327.926563
62161,8007.538507,1685.335445
38475,8734.670341,1402.746097
143587,7661.18899,1511.505668
22366,7647.044745,1613.140165
19615,11423.33003,1753.363183
287,10462.99672,1871.450852
4749,10455.51617,1798.577862
36503,8499.46679,1750.442076
41093,8216.98947,1631.213771
58602,10949.10149,1638.540115
9997,10207.37398,1676.161866
7627,10944.18137,1631.868827
1547,11364.13722,1846.181056
47189,10390.87152,1292.977778
6599,12005.38505,2341.185159
78060,9145.173478,1440.407182
15600,7499.603386,1342.637133
8184,11167.20793,1779.141493
